Account,Balance
0.0.5232198,0
0.0.5229024,600
0.0.5222601,0
0.0.5197213,1400
0.0.5194749,0
0.0.5151429,664
0.0.5131555,0
0.0.5129884,8850
0.0.5128763,13142
0.0.5102323,3
0.0.5085227,0
0.0.5073142,0
0.0.5069496,300
0.0.5033862,0
0.0.5021152,0
0.0.4990089,50
0.0.4977410,0
0.0.4970657,2187
0.0.4957596,0
0.0.4953175,200
0.0.4939404,8900
0.0.4937973,0
0.0.4927513,0
0.0.4925030,0
0.0.4915092,5454
0.0.4899880,1050
0.0.4889605,240
0.0.4873879,0
0.0.4866745,300
0.0.4866012,4184
0.0.4863820,0
0.0.4859816,4517
0.0.4858116,0
0.0.4856974,1
0.0.4855929,0
0.0.4855394,0
0.0.4850355,0
0.0.4823404,2140
0.0.4820662,204367
0.0.4818067,14
0.0.4817928,0
0.0.4817922,0
0.0.4817915,0
0.0.4817910,0
0.0.4817907,0
0.0.4817613,2
0.0.4817319,0
0.0.4817276,0
0.0.4816941,5069
0.0.4811083,0
0.0.4804730,0
0.0.4803950,0
0.0.4798616,0
0.0.4798462,1100
0.0.4795725,16700
0.0.4791394,0
0.0.4791331,0
0.0.4789925,263
0.0.4778501,0
0.0.4765215,30589
0.0.4760849,6050
0.0.4759162,0
0.0.4735847,0
0.0.4735212,0
0.0.4722110,0
0.0.4721717,1000
0.0.4713148,575
0.0.4705313,0
0.0.4704804,10802
0.0.4703126,0
0.0.4702642,0
0.0.4697331,0
0.0.4695820,0
0.0.4695160,0
0.0.4693135,0
0.0.4671634,102
0.0.4641568,40000
0.0.4638181,5402
0.0.4627779,2825
0.0.4624432,100
0.0.4615491,1425
0.0.4609722,0
0.0.4607971,0
0.0.4607653,0
0.0.4607064,0
0.0.4605242,0
0.0.4605079,3625
0.0.4601915,0
0.0.4599242,0
0.0.4598695,0
0.0.4595933,6132
0.0.4595844,1000
0.0.4595805,1400
0.0.4591279,0
0.0.4589800,0
0.0.4570224,15600
0.0.4569641,650
0.0.4560040,0
0.0.4559277,0
0.0.4540971,0
0.0.4519289,0
0.0.4507642,0
0.0.4503020,2062
0.0.4434370,0
0.0.4429075,0
0.0.4424539,0
0.0.4415051,0
0.0.4414002,0
0.0.4408961,0
0.0.4391458,1574
0.0.4385587,135
0.0.4385317,27
0.0.4385315,6786
0.0.4384551,0
0.0.4383878,2963
0.0.4383662,0
0.0.4382319,0
0.0.4376820,0
0.0.4375885,0
0.0.4375748,0
0.0.4375271,0
0.0.4374945,0
0.0.4374828,0
0.0.4367303,602
0.0.4366913,0
0.0.4364522,0
0.0.4364507,0
0.0.4360325,0
0.0.4359679,1650
0.0.4355689,133431
0.0.4355306,0
0.0.4353081,0
0.0.4351420,0
0.0.4350628,267
0.0.4347157,1000
0.0.4345491,0
0.0.4341704,50
0.0.4340785,0
0.0.4340136,0
0.0.4340074,450
0.0.4339032,0
0.0.4335583,0
0.0.4335206,0
0.0.4334489,0
0.0.4330239,0
0.0.4329749,0
0.0.4328676,2322
0.0.4324445,189
0.0.4322905,280
0.0.4319778,521
0.0.4319690,2011
0.0.4319631,0
0.0.4318040,101230
0.0.4315388,750
0.0.4314335,0
0.0.4312852,827
0.0.4308991,650
0.0.4279368,51854
0.0.4269300,0
0.0.4242155,0
0.0.4237042,0
0.0.4228395,100
0.0.4214218,16006
0.0.4209855,5287
0.0.4207604,0
0.0.4202231,4965
0.0.4187646,88
0.0.4152702,7635
0.0.4125671,0
0.0.4104878,0
0.0.4092026,0
0.0.4061924,100
0.0.4061901,503
0.0.4057179,280
0.0.3982167,413246
0.0.3968649,0
0.0.3959686,200001
0.0.3959441,0
0.0.3954640,800
0.0.3947043,0
0.0.3946606,0
0.0.3940385,820
0.0.3939683,0
0.0.3934312,200
0.0.3934155,0
0.0.3931707,5186
0.0.3929060,0
0.0.3927125,6801
0.0.3918603,3080
0.0.3915592,0
0.0.3908598,0
0.0.3908547,800
0.0.3863388,0
0.0.3854910,50
0.0.3852354,9998
0.0.3851685,3000
0.0.3845753,328
0.0.3802249,799
0.0.3783675,0
0.0.3745833,704
0.0.3743132,280
0.0.3738027,0
0.0.3730625,250
0.0.3726252,0
0.0.3713789,0
0.0.3711471,0
0.0.3640917,26587
0.0.3581581,513
0.0.3560376,10025
0.0.3556606,8392
0.0.3494102,363
0.0.3484777,206
0.0.3478664,425
0.0.3346829,0
0.0.3299025,0
0.0.3297258,0
0.0.3291768,1522
0.0.3288680,8
0.0.3248181,6318
0.0.3205524,0
0.0.3205507,0
0.0.3205476,0
0.0.3167151,10
0.0.3161895,1019
0.0.3116941,0
0.0.3116735,0
0.0.3116686,0
0.0.3116641,0
0.0.3116574,0
0.0.3115564,0
0.0.3100704,4829
0.0.3098166,525
0.0.3092572,860
0.0.3087615,0
0.0.3074377,0
0.0.3067366,0
0.0.3065232,0
0.0.3064661,0
0.0.3045609,75
0.0.3040574,0
0.0.3040461,0
0.0.3034619,33
0.0.2999277,0
0.0.2997798,9000000
0.0.2995673,0
0.0.2982174,0
0.0.2962639,540
0.0.2960280,0
0.0.2959252,10048
0.0.2956614,0
0.0.2891997,0
0.0.2787506,0
0.0.2709977,0
0.0.2336136,28
0.0.2182770,0
0.0.2179271,0
0.0.2175921,0
0.0.2162201,0
0.0.2159637,0
0.0.2153826,1062
0.0.2150386,0
0.0.2148853,0
0.0.2141513,0
0.0.2136428,0
0.0.2135322,0
0.0.2135265,0
0.0.2134130,2000
0.0.2130691,1622
0.0.2129896,0
0.0.2115892,0
0.0.2103926,0
0.0.2084716,0
0.0.2082750,10858
0.0.2061956,0
0.0.2060922,0
0.0.2036201,5004
0.0.2036191,0
0.0.2036103,0
0.0.2032999,0
0.0.2031344,0
0.0.2029586,0
0.0.2028070,0
0.0.2019717,0
0.0.2015284,280
0.0.2007592,0
0.0.1995041,0
0.0.1994921,0
0.0.1987743,0
0.0.1978158,0
0.0.1952464,0
0.0.1938313,0
0.0.1932156,80
0.0.1912326,0
0.0.1891469,0
0.0.1792942,0
0.0.1750694,0
0.0.1736233,560
0.0.1730829,280
0.0.1725029,0
0.0.1716936,30
0.0.1708785,0
0.0.1708350,0
0.0.1700219,3226
0.0.1698293,437
0.0.1696576,0
0.0.1692881,0
0.0.1689798,0
0.0.1680706,5600
0.0.1670787,0
0.0.1641181,800
0.0.1640537,0
0.0.1528821,197
0.0.1524707,271000
0.0.1501216,881
0.0.1487194,0
0.0.1485464,0
0.0.1480572,280
0.0.1477725,280
0.0.1472060,0
0.0.1470278,13000
0.0.1468174,300
0.0.1467782,0
0.0.1464633,92
0.0.1453226,400
0.0.1449592,0
0.0.1445583,0
0.0.1444388,0
0.0.1442079,0
0.0.1440628,0
0.0.1425168,107302
0.0.1421971,0
0.0.1413657,935
0.0.1409215,270
0.0.1405765,1617
0.0.1399149,0
0.0.1391028,0
0.0.1388391,2369
0.0.1383669,19481
0.0.1380608,0
0.0.1374131,0
0.0.1372987,2557
0.0.1357150,0
0.0.1356034,0
0.0.1355893,0
0.0.1353334,0
0.0.1330302,3925
0.0.1303525,0
0.0.1300860,0
0.0.1291686,280
0.0.1285385,10300
0.0.1279148,0
0.0.1278848,0
0.0.1266696,5000
0.0.1263897,2000
0.0.1223693,3620
0.0.1197760,1500
0.0.1192469,0
0.0.1180006,0
0.0.1177722,0
0.0.1177120,0
0.0.1176794,396
0.0.1173798,0
0.0.1159806,50
0.0.1159017,0
0.0.1157409,202
0.0.1157254,0
0.0.1156667,0
0.0.1156372,0
0.0.1154748,0
0.0.1154236,0
0.0.1144381,0
0.0.1142411,0
0.0.1137064,0
0.0.1136658,0
0.0.1133888,100000
0.0.1131973,0
0.0.1120388,0
0.0.1119981,0
0.0.1107988,0
0.0.1107918,0
0.0.1099467,0
0.0.1098804,300
0.0.1097530,0
0.0.1097012,0
0.0.1093316,0
0.0.1093174,0
0.0.1092941,0
0.0.1092494,0
0.0.1087027,0
0.0.1082181,0
0.0.1079522,0
0.0.1079361,0
0.0.1078179,0
0.0.1074226,0
0.0.1073706,0
0.0.1073641,0
0.0.1070881,0
0.0.1067034,0
0.0.1065199,0
0.0.1063517,0
0.0.1063232,0
0.0.1063196,22370
0.0.1057510,0
0.0.1056380,280
0.0.1056350,0
0.0.1055818,100
0.0.1051968,0
0.0.1049812,0
0.0.1049144,0
0.0.1048661,10923
0.0.1048446,0
0.0.1046022,25
0.0.1044543,840
0.0.1042893,0
0.0.1042788,3300
0.0.1036441,0
0.0.1035754,0
0.0.1035628,0
0.0.1017856,0
0.0.1016797,0
0.0.1008120,1210
0.0.1003794,0
0.0.1001904,0
0.0.1000668,3716
0.0.995022,0
0.0.990023,0
0.0.975893,0
0.0.972933,0
0.0.965330,0
0.0.961733,0
0.0.939841,0
0.0.924713,0
0.0.906269,5448
0.0.894513,1000
0.0.877282,0
0.0.864353,130
0.0.858580,1826
0.0.845610,580
0.0.843142,0
0.0.840180,0
0.0.837852,0
0.0.834820,0
0.0.831944,0
0.0.828167,1500
0.0.819934,0
0.0.816244,300
0.0.812534,0
0.0.812515,0
0.0.793407,0
0.0.791797,280
0.0.789588,0
0.0.781339,0
0.0.775349,0
0.0.767621,0
0.0.749646,0
0.0.725455,0
0.0.722034,0
0.0.708830,2786
0.0.708744,0
0.0.707749,1400
0.0.707473,40324
0.0.707185,15143
0.0.706113,0
0.0.700278,1590
0.0.699534,0
0.0.693645,0
0.0.689034,0
0.0.681999,0
0.0.664329,805
0.0.662878,350400
0.0.657759,0
0.0.638341,0
0.0.636142,200
0.0.626522,2928
0.0.625759,0
0.0.624045,0
0.0.601681,0
0.0.587477,200
0.0.531998,35000
0.0.511574,0
0.0.503513,0
0.0.492429,0
0.0.483509,0
0.0.481717,1944
0.0.467766,0
0.0.456097,0
0.0.428186,1671
0.0.407119,210
0.0.355724,0
0.0.316647,0
0.0.204362,0
0.0.121378,0
0.0.52671,0
0.0.44268,0
0.0.38610,800
0.0.20330,2188
0.0.6050,0
0.0.1528,0
